APD	filename			Water temp	TEC set temp	breakdown V 	

16	APD_VI_0016_070627_1331.txt	25		999		426.7
16	APD_VI_0016_070704_1616.txt	20		999		442.0
16	APD_VI_0016_070704_1705.txt	15		999		442.0
16	APD_VI_0016_070709_1628.txt	25		10		439.9
16	APD_VI_0016_070709_1530.txt	25		5		437.3
16	APD_VI_0016_070709_1430.txt	25		0		434.5
16	APD_VI_0016_070709_1329.txt	25		-5		435.2
16	APD_VI_0016_070709_1149.txt	25		-10		427.5
16	APD_VI_0016_070628_1052.txt	15		-15		441.0
16	APD_VI_0016_070703_1336.txt	15		-20		425.7
17	APD_VI_0017_070628_1321.txt	25		999		449.1
17	APD_VI_0017_070713_1134.txt	20		999		442.2
17	APD_VI_0017_070713_1040.txt	15		999		444.8
17	APD_VI_0017_070710_1624.txt	25		10		438.6
17	APD_VI_0017_070710_1717.txt	25		5		435.7
17	APD_VI_0017_070712_1310.txt	25		0		435.5
17	APD_VI_0017_070712_1516.txt	25		-5		435.3
17	APD_VI_0017_070712_1639.txt	25		-10		426.2
17	APD_VI_0017_070628_1233.txt	15		-15		425.6
17	APD_VI_0017_070713_0945.txt	15		-20		425.3
18	APD_VI_0018_070628_1434.txt	25		999		448.9
18	APD_VI_0018_070713_1234.txt	20		999		447.1
18	APD_VI_0018_070713_1337.txt	15		999		445.1
18	APD_VI_0018_070716_1514.txt	25		10		438.6
18	APD_VI_0018_070716_1354.txt	25		5		435.6
18	APD_VI_0018_070716_1308.txt	25		0		435.6
18	APD_VI_0018_070716_1212.txt	25		-5		435.6
18	APD_VI_0018_070713_1602.txt	25		-10		426.1
18	APD_VI_0018_070628_1659.txt	15		-15		425.8
18	APD_VI_0018_070713_1421.txt	15		-20		425.8
19	APD_VI_0019_070628_1904.txt	25		999		457.8
19	APD_VI_0019_070720_1458.txt	20		999		455.7
19	APD_VI_0019_070720_1608.txt	15		999		448.4
19	APD_VI_0019_070718_1345.txt	25		10		448.0
19	APD_VI_0019_070718_1430.txt	25		5		444.8
19	APD_VI_0019_070718_1515.txt	25		0		441.9
19	APD_VI_0019_070718_1609.txt	25		-5		438.8
19	APD_VI_0019_070720_1343.txt	25		-10		435.7	
19	APD_VI_0019_070628_1816.txt	15		-15		435.9				
19	APD_VI_0019.txt					15		-20
	
