APD#	0016	Started	06/26/07 14:43	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	2.742226E+1	0.000000E+0	3.977000E-11	-1.264192E-10	0.000000E+0	-1.264150E-11	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-1.266427E-11	0.000000E+0	-1.270861E-11	0.000000E+0	0.000000E+0	-1.266073E-11	1.269962E-11	-2.520473E-11	1.269986E-11	-2.527730E-11	-1.270126E-11	1.261875E-11	0.000000E+0	-1.256866E-11	0.000000E+0	0.000000E+0	-1.266809E-11	-1.261971E-11	1.264160E-11	0.000000E+0	0.000000E+0	0.000000E+0	-1.266026E-11	-1.270390E-11	0.000000E+0	0.000000E+0
0:00:08	0	2.742211E+1	5.000000E+1	6.721100E-9	9.465865E-10	3.783112E-11	3.782495E-11	1.267332E-11	3.796492E-11	2.530435E-11	3.770833E-11	3.789310E-11	2.532718E-11	2.531715E-11	1.266990E-11	1.267640E-11	2.522176E-11	5.069848E-11	3.785690E-11	2.529972E-11	2.527730E-11	3.800378E-11	2.513814E-11	2.515851E-11	2.503835E-11	1.265086E-11	3.778839E-11	3.790452E-11	2.514006E-11	2.518365E-11	3.767602E-11	3.787826E-11	1.269397E-11	3.788109E-11	3.801168E-11	5.020080E-11	1.269358E-11
0:00:17	0	2.742317E+1	1.000000E+2	1.407100E-8	1.654193E-9	7.566224E-11	7.564989E-11	5.059350E-11	5.065320E-11	5.070871E-11	6.281413E-11	5.055738E-11	6.336799E-11	3.802576E-11	3.790993E-11	5.060577E-11	5.054321E-11	6.329810E-11	5.050908E-11	3.799958E-11	5.065451E-11	5.070504E-11	5.037563E-11	5.041646E-11	3.760701E-11	5.050384E-11	3.778839E-11	5.057261E-11	6.289983E-11	3.782525E-11	5.026775E-11	5.053757E-11	5.067593E-11	6.310192E-11	3.801168E-11	6.267674E-11	5.067436E-11
0:00:26	0	2.742416E+1	1.500000E+2	1.864400E-8	2.651416E-9	8.830580E-11	7.564989E-11	7.584036E-11	7.592984E-11	8.871524E-11	7.541665E-11	1.010150E-10	1.014088E-10	1.013687E-10	8.848975E-11	7.585875E-11	6.310425E-11	1.012970E-10	7.571380E-11	1.012989E-10	6.324321E-11	1.013101E-10	6.289502E-11	8.820394E-11	7.521401E-11	7.570596E-11	7.557677E-11	8.847713E-11	1.132793E-10	6.300890E-11	7.535205E-11	7.575652E-11	7.596392E-11	8.842244E-11	7.602336E-11	1.003026E-10	6.326799E-11
0:00:35	0	2.742492E+1	2.000000E+2	2.336300E-8	4.494215E-9	1.765121E-10	1.512998E-10	1.264339E-10	1.138948E-10	1.267218E-10	1.382308E-10	1.515724E-10	1.774904E-10	1.393944E-10	1.516397E-10	1.264645E-10	1.263082E-10	1.519954E-10	1.387754E-10	1.392985E-10	1.391750E-10	1.520151E-10	1.384088E-10	1.385210E-10	1.378594E-10	1.135589E-10	1.385243E-10	1.389500E-10	1.761791E-10	1.386594E-10	1.507041E-10	1.388537E-10	1.392339E-10	1.136433E-10	1.267389E-10	1.379284E-10	1.392295E-10
0:00:43	0	2.742447E+1	2.500000E+2	2.885500E-8	7.652804E-9	2.901050E-10	2.395912E-10	2.149475E-10	2.152012E-10	2.280392E-10	2.388525E-10	2.779160E-10	3.043265E-10	2.281546E-10	2.653695E-10	2.149997E-10	2.272949E-10	2.406928E-10	2.145889E-10	2.533972E-10	2.531727E-10	2.660264E-10	2.265413E-10	2.519828E-10	2.006037E-10	2.145666E-10	2.267303E-10	2.400952E-10	2.769381E-10	2.395931E-10	2.512396E-10	2.399289E-10	2.405857E-10	2.272865E-10	2.154662E-10	2.132792E-10	2.152911E-10
0:00:52	0	2.742378E+1	3.000000E+2	3.719300E-8	1.399118E-8	4.666170E-10	4.538994E-10	3.918751E-10	3.923375E-10	4.434762E-10	4.777050E-10	5.052746E-10	5.452851E-10	4.309920E-10	5.054989E-10	4.172231E-10	4.167074E-10	4.433867E-10	4.290781E-10	4.433951E-10	4.303136E-10	4.814479E-10	4.153257E-10	4.534498E-10	3.760701E-10	4.038315E-10	4.156722E-10	4.548542E-10	4.531173E-10	4.287193E-10	4.396197E-10	4.545391E-10	4.431895E-10	4.041314E-10	3.801168E-10	3.888334E-10	4.051950E-10
0:01:01	0	2.742393E+1	3.500000E+2	5.377800E-8	2.908071E-8	9.458776E-10	9.709066E-10	8.722639E-10	8.226399E-10	8.868524E-10	9.554099E-10	1.010549E-9	1.065243E-9	9.000097E-10	9.984277E-10	8.597991E-10	8.587362E-10	8.740738E-10	8.708083E-10	9.120900E-10	8.733158E-10	9.881982E-10	9.062646E-10	9.447865E-10	8.399228E-10	9.085711E-10	8.943914E-10	9.477127E-10	9.063339E-10	8.700802E-10	9.168163E-10	9.343968E-10	9.369549E-10	8.713648E-10	8.489609E-10	8.152927E-10	8.736579E-10
