APD#	0002	Started	05/31/07 10:37	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6					
ElapTime	Shutter_Open	DegC	H2O_In	H2O_Out	TE_A	TE_V	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	2.992623E+1	2.530000E+1	2.531200E+1	5.447000E-4	-3.800000E-5	0.000000E+0	8.332000E-11	1.378522E-11	-1.450525E-12	4.409592E-13	2.149475E-12	-8.222403E-13	-5.070871E-13	-3.145668E-13	3.789310E-13	2.980198E-12	-1.267859E-12	1.895496E-12	1.391409E-12	-1.266073E-13	5.130846E-12	-2.649983E-12	-1.899979E-13	-1.645522E-12	-1.584157E-12	3.149719E-13	-3.778748E-13	-1.504280E-12	1.135589E-12	3.778839E-13	5.685678E-13	1.887989E-13	-2.518365E-13	-5.651404E-13	1.136348E-12	1.899098E-12	8.204247E-13	1.204370E-12	3.700205E-12	1.329327E-12
0:00:13	0	2.992570E+1	2.528100E+1	2.529800E+1	5.574000E-4	-1.270000E-5	0.000000E+0	9.446000E-11	-2.060300E-10	-2.017992E-12	-7.125025E-12	-6.890496E-12	-5.316088E-12	-6.462110E-12	-7.417625E-12	-6.632290E-12	-4.819171E-12	-5.577778E-12	-5.181688E-12	-3.667172E-12	-7.577495E-12	1.139966E-12	-1.066469E-11	-8.551906E-12	-8.544327E-12	-7.728768E-12	-9.315021E-12	-8.125303E-12	-7.146321E-12	-5.552434E-12	-6.362371E-12	-7.266695E-12	-8.875534E-12	-8.827218E-12	-6.091618E-12	-4.735779E-12	-6.711812E-12	-5.872566E-12	-6.399967E-12	-6.711263E-12	-5.001469E-12
0:00:26	0	2.992866E+1	2.528500E+1	2.530000E+1	5.574000E-4	5.070000E-5	1.000000E+1	6.970800E-10	3.424112E-10	1.702699E-11	4.602699E-12	5.689025E-12	6.771743E-12	6.335088E-12	1.056032E-11	7.453972E-12	2.536522E-11	8.683882E-12	2.066490E-11	2.560732E-11	8.272339E-12	3.046809E-11	5.300962E-12	6.904924E-12	6.961748E-12	6.334630E-12	5.601929E-12	7.684781E-12	9.278044E-12	1.022230E-11	1.215792E-11	8.972399E-12	8.371739E-12	6.809540E-12	5.966692E-12	1.022912E-11	9.117669E-12	8.588042E-12	1.051823E-11	2.076056E-11	5.128405E-12
0:00:40	0	2.992585E+1	2.528400E+1	2.530000E+1	5.320000E-4	1.013000E-4	2.000000E+1	8.890300E-10	5.108679E-10	1.273913E-11	8.575313E-12	8.470170E-12	1.025253E-11	1.102389E-11	1.527485E-11	1.200214E-11	3.183316E-11	1.470596E-11	2.786878E-11	3.287778E-11	1.281923E-11	3.680190E-11	1.281058E-11	1.336585E-11	1.575885E-11	9.565951E-12	1.258795E-11	1.442487E-11	1.542184E-11	1.716334E-11	1.902347E-11	1.554385E-11	1.246271E-11	1.053035E-11	1.092803E-11	1.357537E-11	1.329568E-11	1.452341E-11	1.482756E-11	2.791046E-11	1.190298E-11
0:00:53	0	2.992745E+1	2.528500E+1	2.529800E+1	5.194000E-4	1.013000E-4	3.000000E+1	9.524100E-10	6.635899E-10	2.673864E-11	1.311530E-11	1.365326E-11	1.588532E-11	1.127694E-11	1.973733E-11	1.629703E-11	3.639906E-11	1.819232E-11	2.913278E-11	3.869495E-11	1.976569E-11	4.332670E-11	1.621869E-11	1.558283E-11	1.917578E-11	1.533052E-11	1.636463E-11	2.022028E-11	1.636202E-11	2.353658E-11	2.355907E-11	2.217813E-11	2.385623E-11	9.583723E-12	1.576444E-11	1.786957E-11	1.880407E-11	2.216443E-11	1.767843E-11	3.136015E-11	1.576502E-11
0:01:07	0	2.992859E+1	2.528800E+1	2.530200E+1	5.447000E-4	1.773000E-4	4.000000E+1	1.076300E-9	8.370923E-10	2.957697E-11	1.683509E-11	1.643540E-11	1.822616E-11	2.103361E-11	2.332062E-11	2.040244E-11	4.153557E-11	2.370706E-11	3.956001E-11	4.482853E-11	2.513304E-11	4.928052E-11	2.454821E-11	2.179076E-11	2.639130E-11	1.856185E-11	1.863004E-11	2.374744E-11	2.595378E-11	2.833196E-11	3.067721E-11	2.609527E-11	2.605921E-11	2.055504E-11	1.972042E-11	2.241496E-11	2.317299E-11	2.506931E-11	2.667620E-11	3.982795E-11	1.899339E-11
0:01:20	0	2.992638E+1	2.528400E+1	2.530200E+1	5.574000E-4	1.900000E-4	5.000000E+1	1.350500E-9	1.028935E-9	3.550451E-11	2.131237E-11	2.092296E-11	2.385895E-11	2.508931E-11	2.841223E-11	2.431939E-11	4.825678E-11	3.023548E-11	4.739639E-11	5.424899E-11	3.031197E-11	5.783227E-11	3.180577E-11	2.856869E-11	3.430220E-11	2.350334E-11	2.517589E-11	2.966815E-11	3.115642E-11	3.527300E-11	3.678699E-11	3.380385E-11	2.958379E-11	2.370847E-11	2.449338E-11	2.973942E-11	2.944102E-11	3.031085E-11	3.060541E-11	4.798187E-11	2.532519E-11
0:01:34	0	2.992745E+1	2.528300E+1	2.529900E+1	5.701000E-4	2.280000E-4	6.000000E+1	1.431200E-9	1.147054E-9	4.628837E-11	2.433836E-11	2.421004E-11	2.727680E-11	2.958708E-11	3.067473E-11	2.754031E-11	5.199879E-11	3.283524E-11	5.074543E-11	5.488081E-11	3.315316E-11	6.144316E-11	3.401443E-11	3.255864E-11	3.626443E-11	2.806479E-11	2.819644E-11	3.369947E-11	3.560790E-11	3.842775E-11	4.245625E-11	3.765914E-11	3.606754E-11	2.900500E-11	2.681740E-11	3.207591E-11	3.216372E-11	3.346794E-11	3.529385E-11	5.124344E-11	2.899733E-11
