APD#	0008	Started	03/06/07 19:37	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
   0:00:00	0	2.664400E+1	0.000000E+0	-6.264000E-11	-2.270095E-10	-2.144427E-12	-5.863862E-12	-5.309823E-12	-6.898626E-12	-5.701980E-12	-5.217642E-12	-6.063894E-12	-4.756103E-12	-6.592466E-12	-1.162737E-11	-6.132581E-12	-1.187217E-11	-5.447837E-12	-6.247385E-12	-5.890935E-12	-6.582089E-12	-6.018598E-12	-7.741155E-12	-1.877143E-11	-7.397694E-12	-1.905599E-11	-6.802904E-12	-6.571447E-12	-5.413559E-12	-5.674783E-12	-5.966692E-12	-6.313708E-12	-5.698293E-12	-5.177747E-12	-6.527006E-12	-6.021126E-12	-5.508213E-12
   0:00:13	0	2.659400E+1	0.000000E+0	-4.967000E-11	-4.277922E-10	-1.766116E-12	-1.198055E-11	-1.093598E-11	-1.221471E-11	-1.229111E-11	-1.150302E-11	-1.187550E-11	-1.160445E-11	-1.077630E-11	-1.744156E-11	-1.239292E-11	-1.698731E-11	-1.114867E-11	-1.199068E-11	-1.203587E-11	-1.550508E-11	-1.406440E-11	-1.592347E-11	-2.689673E-11	-1.454402E-11	-2.574501E-11	-1.209427E-11	-1.307905E-11	-1.284031E-11	-1.254803E-11	-1.205831E-11	-1.180705E-11	-1.462605E-11	-1.155573E-11	-1.197568E-11	-1.279477E-11	-1.278953E-11
   0:00:27	0	2.659300E+1	1.000000E+1	1.649200E-9	1.234268E-9	7.763145E-11	4.918139E-11	7.029104E-11	4.088322E-11	3.383181E-11	2.344664E-11	1.869726E-11	2.441420E-11	4.532270E-11	4.429974E-11	-1.220328E-11	4.382505E-11	4.383368E-11	6.569368E-11	3.458562E-11	3.474480E-11	4.225520E-11	6.596028E-11	3.558984E-11	-1.466970E-11	6.543485E-11	3.653540E-11	3.374101E-11	1.913526E-11	4.010173E-11	4.182832E-11	6.610952E-11	3.912841E-11	4.091856E-11	4.169381E-11	2.151307E-11	2.051362E-11
   0:00:41	0	2.659300E+1	2.000000E+1	1.851900E-9	1.479373E-9	8.406374E-11	5.643283E-11	7.882507E-11	4.803462E-11	4.270134E-11	3.784130E-11	2.924650E-11	3.500356E-11	5.083744E-11	5.200943E-11	-1.239292E-11	5.348708E-11	5.485535E-11	7.629560E-11	4.529150E-11	4.588380E-11	4.757673E-11	7.489773E-11	4.503870E-11	-1.479440E-11	7.628770E-11	4.466189E-11	4.208200E-11	2.580682E-11	4.754235E-11	4.635043E-11	7.172946E-11	4.457383E-11	4.647611E-11	4.885401E-11	2.734607E-11	2.652758E-11
   0:00:55	0	2.659300E+1	3.000000E+1	2.117600E-9	1.708865E-9	9.137908E-11	6.204386E-11	8.622051E-11	5.550172E-11	5.157186E-11	4.645269E-11	3.935299E-11	4.603740E-11	5.552761E-11	6.041446E-11	-1.144369E-11	6.251707E-11	6.328010E-11	8.500468E-11	5.675638E-11	5.714868E-11	5.416538E-11	8.131839E-11	5.184144E-11	-1.573556E-11	8.695128E-11	5.348051E-11	4.884296E-11	3.184937E-11	5.145130E-11	5.175099E-11	7.854854E-11	5.217122E-11	5.222207E-11	5.544404E-11	3.317907E-11	3.361899E-11
   0:01:09	0	2.659300E+1	4.000000E+1	2.391300E-9	1.940324E-9	1.009643E-10	6.866522E-11	9.412187E-11	6.164104E-11	6.050439E-11	5.607030E-11	4.775429E-11	5.453552E-11	6.072514E-11	6.780789E-11	-1.125404E-11	7.337938E-11	7.335080E-11	9.655303E-11	6.613127E-11	6.619955E-11	5.973994E-11	8.994087E-11	5.990410E-11	-1.448167E-11	9.748935E-11	5.845664E-11	5.952107E-11	3.827052E-11	5.756804E-11	5.646149E-11	8.536763E-11	5.609735E-11	5.796904E-11	6.241418E-11	3.907543E-11	3.938007E-11
   0:01:23	0	2.659300E+1	5.000000E+1	2.592000E-9	2.177243E-9	1.083424E-10	7.547470E-11	1.030351E-10	7.024809E-11	6.747359E-11	6.719624E-11	5.703909E-11	6.601283E-11	6.712747E-11	7.785601E-11	-1.157046E-11	8.310421E-11	8.183954E-11	1.056397E-10	7.366919E-11	7.778115E-11	6.550551E-11	9.541661E-11	6.777782E-11	-1.579791E-11	1.114969E-10	6.633055E-11	6.577631E-11	4.594967E-11	6.254902E-11	6.267902E-11	9.427101E-11	6.078213E-11	6.422041E-11	7.065171E-11	4.365391E-11	4.571187E-11
   0:01:37	0	2.659300E+1	6.000000E+1	2.916500E-9	2.525139E-9	1.235415E-10	8.922009E-11	1.197859E-10	7.822172E-11	7.780037E-11	7.643577E-11	6.544039E-11	7.229057E-11	7.879137E-11	9.055783E-11	-1.239292E-11	9.630227E-11	9.463416E-11	1.230568E-10	8.310709E-11	8.955258E-11	7.766872E-11	1.124728E-10	8.384048E-11	-1.680044E-11	1.320680E-10	7.577963E-11	7.462203E-11	5.205483E-11	7.358305E-11	7.279107E-11	1.089199E-10	7.452160E-11	7.552293E-11	8.078983E-11	4.954928E-11	5.140999E-11
   0:01:51	0	2.659300E+1	7.000000E+1	3.098700E-9	2.669889E-9	1.295318E-10	9.218338E-11	1.253491E-10	8.410728E-11	8.305927E-11	8.140235E-11	7.005139E-11	7.768035E-11	8.272104E-11	9.908956E-11	-1.169722E-11	1.042586E-10	9.837205E-11	1.298731E-10	8.969501E-11	9.271674E-11	8.191314E-11	1.170672E-10	8.906908E-11	-1.554753E-11	1.405232E-10	8.006265E-11	7.885536E-11	5.532800E-11	7.478151E-11	7.643375E-11	1.132769E-10	7.623079E-11	7.823841E-11	8.585838E-11	5.375249E-11	5.565184E-11
   0:02:05	0	2.659400E+1	8.000000E+1	3.270400E-9	2.786688E-9	1.325593E-10	9.521037E-11	1.304055E-10	8.733530E-11	8.914131E-11	8.756171E-11	7.567352E-11	8.167564E-11	8.544688E-11	1.031340E-10	-1.176010E-11	1.090587E-10	1.032489E-10	1.334067E-10	9.381297E-11	9.689399E-11	8.444739E-11	1.212215E-10	9.366722E-11	-1.818002E-11	1.484733E-10	8.516508E-11	8.327922E-11	5.809738E-11	7.875416E-11	7.712381E-11	1.170020E-10	7.977711E-11	8.114329E-11	8.915340E-11	5.657442E-11	5.818456E-11
