	Lot #	1	Started	5/9/2007 10:26																		
0:00:20	ElapTime	RTD_101	RTD_102	Th01	Th02	Th03	Th04	Th05	Th06	Th07	Th09	Th10	Th11	Th12	Th13	Th14	Th15	Th16	Th17	Th18	Th19	Th20
0	0:00:00	25.95	25.95	9005.9360	8052.3500	9169.5460	8939.3840	8736.1540	8778.3390	9018.7600	8607.3720	7953.2660	9241.6990	9032.4610	9118.7890	8954.4360	9153.3470	9069.7190	8559.9220	8768.2150	9304.8750	9232.1150
1	0:00:20	25.95	25.95	9005.8680	8052.2150	9169.4780	8939.3840	8736.1540	8778.5410	9018.6920	8607.3040	7953.3330	9241.6990	9032.3260	9118.7890	8954.5710	9153.3470	9069.6520	8559.7190	8768.1470	9304.9430	9232.1150
2	0:00:40	25.95	25.95	9005.9360	8052.3500	9169.3430	8939.3170	8735.9520	8778.1370	9019.0300	8607.3720	7953.2660	9241.4290	9032.2590	9118.9910	8954.3010	9153.3470	9069.5840	8560.1240	8768.0800	9305.5500	9231.8450
3	0:01:00	25.95	25.94	9005.4630	8052.0800	9169.2760	8939.2490	8736.0190	8778.2720	9018.5570	8607.1690	7952.9280	9241.5640	9032.3940	9118.5860	8954.3690	9153.1440	9069.3820	8559.7190	8768.1470	9304.6730	9231.9120
4	0:01:20	25.96	25.95	9005.4630	8052.1470	9169.2760	8939.2490	8735.9520	8778.2720	9018.5570	8607.1020	7953.1980	9241.3620	9032.3260	9118.5860	8954.4360	9153.2790	9069.3820	8559.7190	8768.0120	9304.5380	9231.9120
5	0:01:40	25.96	25.95	9005.6660	8052.0800	9169.2760	8939.0470	8735.9520	8778.2040	9018.6250	8607.1020	7953.0630	9241.4970	9032.3940	9118.5860	8954.4360	9153.2120	9069.3140	8559.6520	8767.9450	9304.5380	9231.8450
6	0:02:00	25.96	25.94	9005.5310	8052.0120	9169.2080	8939.0470	8736.0860	8778.2040	9018.5570	8607.1020	7952.8610	9241.3620	9032.2590	9118.5860	8954.5710	9153.0770	9069.4490	8559.4490	8768.0800	9304.4700	9231.8450
7	0:02:20	25.96	25.95	9005.4630	8052.0800	9169.3430	8939.1820	8735.8840	8778.1370	9018.3550	8606.9670	7953.1310	9241.3620	9032.3260	9118.5190	8954.4360	9153.0770	9069.3820	8559.4490	8768.0120	9304.3350	9231.7100
8	0:02:40	25.96	25.94	9005.3960	8052.0800	9169.1410	8939.0470	8736.0860	8778.1370	9018.4900	8606.9670	7953.0630	9241.2940	9032.3940	9118.5190	8954.5040	9153.0090	9069.3820	8559.4490	8767.9450	9304.4700	9231.7100
9	0:03:00	25.96	25.94	9005.4630	8051.9450	9169.0730	8939.1150	8735.7490	8778.2040	9018.4220	8607.0340	7952.8610	9241.2940	9032.1920	9118.5190	8954.5710	9152.8740	9069.3140	8559.4490	8768.0800	9304.3350	9231.5750
10	0:03:20	25.96	25.95	9005.2610	8051.9450	9169.0730	8939.1820	8735.7490	8778.1370	9018.2870	8606.8990	7952.9960	9241.3620	9032.1920	9118.4510	8954.3690	9153.0090	9069.3140	8559.4490	8767.8770	9304.2680	9231.5750
11	0:03:40	25.96	25.95	9005.3280	8051.9450	9169.0730	8939.0470	8735.8170	8778.1370	9018.4900	8606.8990	7952.9960	9241.2940	9032.1920	9118.3840	8954.4360	9152.8740	9069.3140	8559.3820	8767.8770	9304.2680	9231.4400
12	0:04:00	25.96	25.94	9005.1260	8051.9450	9169.0730	8939.1150	8735.8170	8778.0020	9018.2870	8606.8320	7952.9280	9241.2940	9032.1240	9118.3840	8954.3690	9152.9420	9069.1790	8559.3820	8767.8770	9303.9980	9231.5750
13	0:04:20	25.96	25.94	9005.2610	8051.8770	9168.8710	8938.9800	8735.8840	8777.9340	9018.3550	8606.8320	7952.8610	9241.2940	9032.1920	9118.5190	8954.5040	9152.8740	9069.3140	8559.3820	8767.7420	9304.1330	9231.4400
14	0:04:40	25.96	25.94	9005.1930	8051.8100	9168.9380	8938.9120	8735.8170	8778.0020	9018.2200	8606.8320	7952.7930	9241.2270	9032.0570	9118.4510	8954.4360	9152.8740	9069.2470	8559.1120	8767.7420	9303.9980	9231.4400
15	0:05:00	25.96	25.94	9005.1930	8051.7420	9168.9380	8938.8450	8735.6820	8777.9340	9018.2200	8606.6970	7952.7930	9241.1590	9032.0570	9118.3840	8954.3690	9152.8070	9069.0440	8559.2470	8767.7420	9304.1330	9231.3720
16	0:05:20	25.96	25.94	9005.1260	8051.7420	9168.8030	8938.8450	8735.6140	8777.8670	9018.1520	8606.8320	7952.9280	9241.2270	9032.0570	9118.2490	8954.3010	9152.6040	9069.0440	8559.1790	8767.6750	9303.8630	9231.3050
